Name,GoalKeeping,GK_Positioning,GK_Diving,GK_Kicking,GK_Handling,GK_Reflexes
Cristian Lema,9.8,14.0,11.0,7.0,8.0,9.0
Óscar Carniello,13.0,15.0,9.0,10.0,16.0,15.0
Sander Svendsen,9.0,10.0,6.0,6.0,11.0,12.0
Lucas Menossi,10.2,10.0,10.0,14.0,8.0,9.0
Gastón Díaz,9.6,10.0,14.0,6.0,10.0,8.0
Armando Cooper,9.2,7.0,8.0,15.0,6.0,10.0
Manuel Villalobos,10.6,8.0,12.0,8.0,11.0,14.0
Sebastián Moyano,66.0,65.0,65.0,64.0,66.0,70.0
Misael Dávila,10.0,7.0,12.0,12.0,9.0,10.0
Víctor Hugo Sarabia,10.2,8.0,7.0,11.0,13.0,12.0
Francisco Pizzini,9.6,9.0,7.0,10.0,11.0,11.0
Esteban González,10.8,11.0,12.0,12.0,7.0,12.0
Matías Donoso,9.6,10.0,12.0,10.0,8.0,8.0
Sebastián Gonzalez,8.2,11.0,6.0,7.0,7.0,10.0
Javier Capelli,12.2,16.0,10.0,15.0,7.0,13.0
Jorge Valdez Chamorro,13.0,9.0,13.0,14.0,14.0,15.0
Nicolás Avellaneda,64.2,62.0,66.0,60.0,62.0,71.0
Ronald de la Fuente,12.2,11.0,14.0,11.0,10.0,15.0
José Luis Muñoz,12.2,8.0,13.0,10.0,16.0,14.0
Fernando Saavedra,13.4,12.0,13.0,16.0,15.0,11.0
Gabriel Sandoval,11.8,14.0,12.0,13.0,14.0,6.0
Matías Navarrete,10.4,10.0,9.0,11.0,11.0,11.0
Yamilson Rivera,11.8,14.0,10.0,7.0,14.0,14.0
Luis Mosquera,12.8,12.0,10.0,15.0,13.0,14.0
Mauricio Restrepo,8.6,6.0,11.0,6.0,11.0,9.0
Darwin López,11.8,12.0,15.0,11.0,9.0,12.0
Darío Melo,64.2,58.0,64.0,60.0,68.0,71.0
Esteban Carvajal,11.4,13.0,13.0,7.0,14.0,10.0
Yair Arrechea,13.4,15.0,14.0,15.0,15.0,8.0
Félix Noguera,9.8,9.0,10.0,7.0,8.0,15.0
Henry Rojas,12.8,11.0,16.0,12.0,13.0,12.0
David Valencia,14.0,12.0,15.0,15.0,13.0,15.0
Dilan Zúñiga,12.0,13.0,6.0,13.0,13.0,15.0
Camilo Rodríguez,12.6,8.0,14.0,14.0,11.0,16.0
Carlos Escobar,14.6,16.0,13.0,15.0,15.0,14.0
Juan Zuluaga,10.8,12.0,15.0,9.0,6.0,12.0
Cristian Restrepo,9.8,6.0,7.0,12.0,8.0,16.0
Álvaro Navarro,11.6,14.0,11.0,12.0,9.0,12.0
Carlos Giraldo,11.0,12.0,11.0,14.0,8.0,10.0
Alcatraz,8.8,9.0,7.0,8.0,9.0,11.0
Sergio Mosquera,9.2,9.0,13.0,8.0,9.0,7.0
Hárrison Mojica,13.2,14.0,13.0,13.0,15.0,11.0
Ahmed Al Nazera,12.6,15.0,7.0,11.0,15.0,15.0
Elacio Córdoba,9.8,11.0,7.0,11.0,9.0,11.0
Anton Mitryushkin,65.0,64.0,70.0,64.0,60.0,67.0
Mikael Uhre,11.6,9.0,11.0,9.0,15.0,14.0
Lebogang Phiri,11.6,14.0,15.0,8.0,8.0,13.0
Chris Erskine,12.0,14.0,11.0,16.0,8.0,11.0
Paweł Stolarski,10.6,7.0,10.0,15.0,12.0,9.0
Wandrille Lefèvre,10.8,15.0,11.0,7.0,7.0,14.0
Adolphe Teikeu,10.4,11.0,13.0,14.0,7.0,7.0
Jonathan Ring,9.6,7.0,8.0,15.0,8.0,10.0
Dillon Serna,10.8,16.0,8.0,13.0,10.0,7.0
Diawandou Diagné,12.2,12.0,13.0,9.0,12.0,15.0
Lee Evans,11.0,15.0,6.0,9.0,11.0,14.0
Khaled Ayari,9.4,6.0,11.0,10.0,8.0,12.0
Marko Marić,67.4,67.0,72.0,66.0,62.0,70.0
Niels De Schutter,10.4,8.0,12.0,9.0,12.0,11.0
Abdellah Zoubir,13.4,14.0,8.0,15.0,15.0,15.0
Luis Fernández,10.0,9.0,8.0,12.0,13.0,8.0
Zach Clough,10.6,14.0,10.0,14.0,9.0,6.0
Erik Hurtado,12.2,13.0,12.0,15.0,8.0,13.0
Pa Konate,8.8,7.0,9.0,11.0,8.0,9.0
David Kinsombi,11.0,12.0,11.0,7.0,11.0,14.0
John Souttar,11.6,10.0,13.0,15.0,11.0,9.0
Craig Slater,10.8,6.0,9.0,12.0,14.0,13.0
Wilberto Cosme,10.6,15.0,12.0,9.0,8.0,9.0
Germán Parreño,64.0,65.0,62.0,59.0,66.0,68.0
Jordi Vanlerberghe,12.6,13.0,15.0,10.0,14.0,11.0
Jaime Gómez,9.8,8.0,9.0,10.0,10.0,12.0
Edward Zenteno,10.2,9.0,8.0,9.0,13.0,12.0
Tarsi,9.2,12.0,7.0,12.0,7.0,8.0
Michael Pérez,13.4,14.0,10.0,16.0,13.0,14.0
Saeed Al Mowalad,10.8,13.0,11.0,9.0,10.0,11.0
Albert Rafetraniaina,13.2,16.0,16.0,14.0,8.0,12.0
Lucas Hufnagel,11.4,14.0,8.0,14.0,8.0,13.0
Alex Muñoz,12.6,9.0,15.0,14.0,14.0,11.0
Nils Quaschner,12.2,14.0,9.0,11.0,13.0,14.0
Philipp Riese,9.6,12.0,8.0,9.0,7.0,12.0
Betinho,10.2,15.0,6.0,15.0,7.0,8.0
Caolan Lavery,12.0,8.0,15.0,16.0,8.0,13.0
Thamsanqa Gabuza,11.4,14.0,15.0,14.0,8.0,6.0
Leonardo Bertone,9.8,8.0,11.0,12.0,8.0,10.0
Pol García,6.6,7.0,7.0,7.0,6.0,6.0
Nico Hidalgo,12.4,16.0,14.0,13.0,7.0,12.0
Andrea Tabanelli,4.0,4.0,4.0,4.0,4.0,4.0
Alexandr Putsko,10.8,10.0,6.0,13.0,13.0,12.0
Nono,11.0,12.0,10.0,11.0,11.0,11.0
Matthew Rusike,11.2,15.0,14.0,12.0,9.0,6.0
Nicolai Brock-Madsen,8.6,6.0,9.0,13.0,6.0,9.0
Frank Bagnack,11.6,9.0,8.0,14.0,16.0,11.0
Riccardo Fiamozzi,12.6,7.0,14.0,12.0,15.0,15.0
Riccardo Improta,10.4,14.0,11.0,7.0,8.0,12.0
Alhaji Kamara,11.2,9.0,8.0,15.0,12.0,12.0
Sultan Ali Al Sawadi,10.6,8.0,9.0,15.0,13.0,8.0
Salva Ruíz,12.8,6.0,15.0,16.0,13.0,14.0
Floriano Vanzo,9.4,10.0,7.0,12.0,7.0,11.0
Nuno Campos,12.2,12.0,8.0,15.0,12.0,14.0
Manuel Prietl,11.0,8.0,12.0,10.0,12.0,13.0
Charalampos Lykogiannis,10.4,14.0,9.0,10.0,7.0,12.0
Niklas Lomb,66.0,64.0,70.0,65.0,61.0,70.0
Romell Quioto,10.2,14.0,9.0,8.0,7.0,13.0
Thomas Murg,11.6,14.0,14.0,12.0,12.0,6.0
Muhannad Abu Radiyah,7.8,7.0,9.0,7.0,8.0,8.0
Assaf Ahmed Al Qarni,63.8,66.0,64.0,58.0,66.0,65.0
Mansour Al Harbi,10.6,10.0,12.0,12.0,8.0,11.0
Carlos Calvo,10.2,13.0,8.0,12.0,8.0,10.0
Terell Ondaan,9.6,8.0,9.0,13.0,12.0,6.0
Rafael Batatinha,11.6,12.0,8.0,15.0,11.0,12.0
Craig Goodwin,8.8,7.0,9.0,10.0,11.0,7.0
Guus Joppen,13.0,15.0,10.0,15.0,15.0,10.0
Vedran Janjetović,64.2,64.0,66.0,63.0,60.0,68.0
Mikhail Rosheuvel,12.6,9.0,12.0,15.0,16.0,11.0
Abdullah Al Owayshir,65.4,65.0,64.0,65.0,69.0,64.0
Gary Warren,12.0,11.0,15.0,15.0,7.0,12.0
Radosław Murawski,10.8,14.0,9.0,16.0,9.0,6.0
Rochdi Achenteh,10.4,14.0,8.0,9.0,15.0,6.0
Kristoffer Haugen,11.4,12.0,11.0,12.0,7.0,15.0
Awad Khrees,11.2,13.0,9.0,12.0,6.0,16.0
Alex Grant,10.0,8.0,14.0,11.0,9.0,8.0
Tawfiq Bu Haymid,9.4,9.0,8.0,9.0,9.0,12.0
Per Frick,11.4,8.0,7.0,12.0,15.0,15.0
Ahmed Ali Al Kassar,64.6,65.0,66.0,59.0,64.0,69.0
Hattan Bahebri,10.0,12.0,10.0,12.0,7.0,9.0
Fawaz Al Qarni,65.8,66.0,67.0,65.0,62.0,69.0
Ashton Götz,13.0,15.0,15.0,9.0,13.0,13.0
Nathaniel Knight-Percival,12.2,11.0,12.0,12.0,11.0,15.0
Mohammed Eid Al Bishi,12.6,13.0,16.0,12.0,8.0,14.0
Daniel Łukasik,11.4,10.0,15.0,9.0,7.0,16.0
Jimmy Roye,12.6,8.0,16.0,15.0,10.0,14.0
Jimmy Giraudon,8.4,7.0,8.0,9.0,8.0,10.0
Kenneth Schuermans,13.0,9.0,14.0,15.0,12.0,15.0
Wouter Marinus,12.2,14.0,12.0,13.0,15.0,7.0
Gino van Kessel,12.2,15.0,8.0,13.0,11.0,14.0
Alan Uryga,12.0,13.0,15.0,11.0,8.0,13.0
Marky Delgado,11.0,11.0,9.0,13.0,7.0,15.0
Tim Chow,11.0,13.0,12.0,8.0,8.0,14.0
Dejan Mezga,8.6,9.0,9.0,8.0,11.0,6.0
Pa Dibba,11.8,15.0,13.0,10.0,12.0,9.0
Kornel Osyra,12.6,15.0,9.0,16.0,8.0,15.0
Amir Fahad Kurdy,9.8,6.0,15.0,11.0,10.0,7.0
Berat Djimsiti,9.8,10.0,10.0,13.0,6.0,10.0
Federico Andrada,9.2,13.0,10.0,6.0,11.0,6.0
Viktor Agardius,10.2,6.0,13.0,15.0,9.0,8.0
Ivan Runje,11.0,16.0,7.0,15.0,11.0,6.0
Murray Wallace,1.0,1.0,1.0,1.0,1.0,1.0
Pedro Martín,11.0,7.0,13.0,10.0,11.0,14.0
Valeriu Ciupercă,11.8,14.0,10.0,14.0,12.0,9.0
Patryk Tuszyński,11.0,10.0,14.0,12.0,10.0,9.0
Jordan Botaka,12.8,15.0,12.0,12.0,15.0,10.0
Raymon Gaddis,12.0,7.0,15.0,9.0,15.0,14.0
Alan Mendoza,11.6,12.0,13.0,8.0,10.0,15.0
Jota,9.8,10.0,7.0,14.0,11.0,7.0
Paco van Moorsel,9.4,9.0,8.0,6.0,14.0,10.0
Calum Mallace,14.2,12.0,16.0,14.0,14.0,15.0
Jose Villarreal,11.4,16.0,14.0,8.0,9.0,10.0
Martin Bjørnbak,10.0,8.0,11.0,8.0,13.0,10.0
Mikael Boman,10.4,12.0,7.0,11.0,8.0,14.0
Franco Fragapane,10.4,12.0,9.0,10.0,11.0,10.0
José Valencia,10.8,14.0,10.0,16.0,7.0,7.0
Matías Campos,11.0,13.0,11.0,9.0,8.0,14.0
Darren Mattocks,9.6,10.0,6.0,13.0,9.0,10.0
Connor Lade,9.8,12.0,14.0,6.0,8.0,9.0
Jason Holt,11.6,14.0,16.0,9.0,9.0,10.0
Louis Thompson,8.6,8.0,12.0,8.0,8.0,7.0
Marius Høibråten,9.8,8.0,7.0,15.0,11.0,8.0
Franck Boli,12.2,13.0,16.0,9.0,12.0,11.0
Abdoulaye Sané,13.0,11.0,16.0,14.0,8.0,16.0
Ezekiel Fryers,10.4,6.0,7.0,14.0,14.0,11.0
Simeon Raykov,10.0,10.0,10.0,7.0,9.0,14.0
Marco Romizi,9.8,7.0,11.0,5.0,12.0,14.0
Anton Shvets,11.6,8.0,13.0,8.0,14.0,15.0
Selim Gündüz,13.8,14.0,12.0,14.0,16.0,13.0
Jairo Morillas,11.8,15.0,13.0,13.0,10.0,8.0
Jed Wallace,11.4,11.0,12.0,14.0,14.0,6.0
Alex Rodríguez,10.4,15.0,8.0,15.0,8.0,6.0
Cheick Diarra,10.6,7.0,11.0,15.0,7.0,13.0
David Bruno,13.0,7.0,16.0,15.0,15.0,12.0
Martin Sourzac,64.6,64.0,66.0,59.0,66.0,68.0
Mike van Duinen,9.6,11.0,8.0,7.0,10.0,12.0
Alexander Juel Andersen,11.4,12.0,10.0,10.0,13.0,12.0
Adam Henley,10.4,15.0,12.0,6.0,11.0,8.0
Marco Thiede,11.6,8.0,9.0,14.0,11.0,16.0
Herolind Shala,11.2,9.0,11.0,12.0,8.0,16.0
De Los Reyes,10.4,7.0,12.0,11.0,12.0,10.0
Jack Baldwin,10.8,11.0,11.0,6.0,12.0,14.0
Donovan Léon,65.2,64.0,67.0,65.0,60.0,70.0
Cristian Ceballos,9.2,6.0,8.0,10.0,12.0,10.0
Herman Stengel,12.0,13.0,15.0,10.0,9.0,13.0
Fernando,63.8,61.0,69.0,57.0,63.0,69.0
Igor Rossi,13.6,15.0,16.0,15.0,13.0,9.0
Milan Borjan,66.0,67.0,73.0,66.0,59.0,65.0
Baïssama Sankoh,10.2,12.0,8.0,11.0,8.0,12.0
Nick Ansell,11.4,14.0,8.0,12.0,11.0,12.0
Jack Grimmer,10.6,11.0,15.0,10.0,10.0,7.0
Dejan Janjatović,11.0,12.0,7.0,13.0,8.0,15.0
Joshua Smits,65.6,64.0,67.0,67.0,65.0,65.0
Menno Koch,9.4,9.0,6.0,7.0,12.0,13.0
Mehdi Jeannin,65.2,66.0,67.0,61.0,61.0,71.0
Kiko,11.4,10.0,15.0,13.0,9.0,10.0
Alberto Almici,8.2,9.0,9.0,7.0,8.0,8.0
Michael Ngoo,12.2,10.0,13.0,9.0,15.0,14.0
Stanley Elbers,10.8,11.0,11.0,13.0,6.0,13.0
Gianmario Comi,9.8,8.0,15.0,7.0,12.0,7.0
Rayan Frikèche,10.6,7.0,12.0,12.0,8.0,14.0
Michael Smith,11.8,7.0,13.0,16.0,9.0,14.0
Dylan McGowan,11.8,7.0,12.0,10.0,14.0,16.0
Jak Alnwick,64.4,64.0,67.0,61.0,64.0,66.0
Anthony O'Connor,10.6,7.0,11.0,15.0,10.0,10.0
Aleksandar Todorovski,12.4,15.0,15.0,6.0,10.0,16.0
Marcus Bettinelli,65.6,67.0,69.0,58.0,65.0,69.0
Iasmin Latovlevici,12.6,7.0,16.0,15.0,14.0,11.0
Tom Trybull,11.6,13.0,15.0,11.0,13.0,6.0
Kenny Lala,9.6,6.0,14.0,7.0,6.0,15.0
Anass Achahbar,11.4,7.0,11.0,10.0,14.0,15.0
Félix Araujo,11.2,10.0,7.0,14.0,10.0,15.0
Ousseynou Cissé,9.2,9.0,7.0,11.0,10.0,9.0
Mehmet Akyüz,11.4,11.0,16.0,13.0,7.0,10.0
Adrián Luna,12.0,7.0,12.0,15.0,13.0,13.0
Richard Windbichler,10.8,11.0,9.0,7.0,16.0,11.0
Ibrahim Salah,11.0,10.0,6.0,14.0,14.0,11.0
Daniel Davari,66.4,64.0,67.0,69.0,65.0,67.0
Lawrence Thomas,64.2,64.0,69.0,57.0,64.0,67.0
Ashtone Morgan,12.0,14.0,15.0,7.0,10.0,14.0
Ben Halloran,12.4,13.0,15.0,11.0,13.0,10.0
Joshua Brillante,10.4,6.0,12.0,14.0,9.0,11.0
James Jeggo,12.0,13.0,8.0,11.0,13.0,15.0
Kamal Issah,13.4,13.0,12.0,16.0,11.0,15.0
Kim Dae Ho,12.4,12.0,13.0,15.0,9.0,13.0
Richard Lašík,11.0,13.0,12.0,7.0,14.0,9.0
Nicolás Peñailillo,11.6,16.0,8.0,10.0,9.0,15.0
Reece Wabara,12.0,14.0,9.0,13.0,14.0,10.0
Christopher Forrester,12.8,15.0,7.0,13.0,16.0,13.0
Nathan Byrne,8.8,10.0,8.0,7.0,8.0,11.0
Martin Angha,11.6,15.0,8.0,9.0,13.0,13.0
Gerson,12.6,10.0,16.0,13.0,15.0,9.0
Weslley,11.6,10.0,8.0,14.0,14.0,12.0
Florian Makhedjouf,11.4,11.0,15.0,10.0,10.0,11.0
Thorsten Röcher,11.0,13.0,10.0,11.0,13.0,8.0
Michael Doughty,11.8,12.0,9.0,9.0,15.0,14.0
Kim Byeong Oh,11.4,11.0,10.0,10.0,12.0,14.0
Dimitri Bisoli,12.8,15.0,15.0,9.0,14.0,11.0
Daniel Amora,10.2,11.0,10.0,6.0,10.0,14.0
Leon de Kogel,9.4,7.0,12.0,9.0,9.0,10.0
Vojo Ubiparip,10.4,12.0,9.0,7.0,13.0,11.0
Riffi Mandanda,65.4,64.0,66.0,64.0,64.0,69.0
Servando Carrasco,12.4,10.0,7.0,15.0,16.0,14.0
Joe Willis,65.2,68.0,68.0,60.0,65.0,65.0
Zeli Ismail,11.8,14.0,16.0,10.0,12.0,7.0
Josh Williams,12.4,8.0,12.0,14.0,13.0,15.0
Ažbe Jug,63.8,65.0,67.0,60.0,62.0,65.0
Fabio Concas,10.8,7.0,14.0,11.0,8.0,14.0
Chuks Aneke,9.2,8.0,13.0,7.0,12.0,6.0
Zarek Valentin,11.4,10.0,10.0,14.0,14.0,9.0
Kofi Sarkodie,12.0,13.0,10.0,15.0,14.0,8.0
Ethan White,11.2,11.0,9.0,11.0,14.0,11.0
Kim Ojo,10.6,11.0,12.0,7.0,10.0,13.0
Christoffer Remmer,12.0,13.0,13.0,15.0,7.0,12.0
Ohi Omoijuanfo,12.2,9.0,15.0,10.0,14.0,13.0
Jeff Attinella,65.0,65.0,68.0,63.0,65.0,64.0
Russell Teibert,10.0,10.0,8.0,7.0,14.0,11.0
Daniel Lafferty,10.4,11.0,9.0,8.0,15.0,9.0
Federico Furlan,12.2,12.0,11.0,15.0,14.0,9.0
Manu Molina,10.2,8.0,11.0,9.0,11.0,12.0
Andrea La Mantia,9.2,9.0,15.0,7.0,8.0,7.0
Simone Sini,9.4,8.0,10.0,7.0,10.0,12.0
Arkadiusz Woźniak,12.4,8.0,14.0,15.0,15.0,10.0
Bartłomiej Pawłowski,13.0,14.0,14.0,13.0,13.0,11.0
Scott Allan,10.6,12.0,8.0,10.0,7.0,16.0
Callum Booth,13.6,15.0,15.0,15.0,11.0,12.0
Steven Lawless,10.2,7.0,13.0,10.0,15.0,6.0
Florent Ogier,8.8,8.0,14.0,8.0,8.0,6.0
Charis Mavrias,10.8,16.0,7.0,10.0,9.0,12.0
Christoph Knasmüllner,9.2,9.0,6.0,8.0,14.0,9.0
Josh Morris,10.4,9.0,11.0,12.0,11.0,9.0
Curtis Nelson,11.2,10.0,14.0,8.0,11.0,13.0
Abdenasser El Khayati,13.0,13.0,15.0,14.0,10.0,13.0
Giacomo Beretta,11.8,13.0,7.0,10.0,14.0,15.0
Terry Antonis,13.4,14.0,7.0,16.0,15.0,15.0
Kristof D'Haene,12.6,12.0,7.0,14.0,16.0,14.0
Simone Corazza,11.2,10.0,10.0,9.0,14.0,13.0
Pulido,9.0,10.0,12.0,10.0,6.0,7.0
Joaquín Boghossian,11.0,14.0,8.0,12.0,8.0,13.0
Ali Messaoud,10.8,13.0,6.0,6.0,14.0,15.0
Giliano Wijnaldum,10.8,15.0,10.0,7.0,14.0,8.0
Alessandro Cerigioni,10.8,12.0,10.0,8.0,10.0,14.0
Rémi Mulumba,12.2,9.0,9.0,13.0,14.0,16.0
Sefa Yılmaz,12.2,14.0,13.0,11.0,10.0,13.0
Florent Cuvelier,10.2,11.0,9.0,7.0,10.0,14.0
Ricky Holmes,13.4,10.0,15.0,16.0,15.0,11.0
Andreas Wittwer,11.6,14.0,15.0,8.0,8.0,13.0
Fabian Koch,11.0,7.0,14.0,11.0,15.0,8.0
Dionicio Escalante,12.0,15.0,16.0,15.0,8.0,6.0
Dennis Hediger,10.6,10.0,6.0,9.0,15.0,13.0
Kim Young Wook,11.2,8.0,7.0,15.0,13.0,13.0
Ryoichi Maeda,10.2,11.0,9.0,11.0,13.0,7.0
Camaldine Abraw,13.4,15.0,15.0,8.0,14.0,15.0
Andy Halliday,9.2,12.0,10.0,7.0,10.0,7.0
Mustafa Amini,14.4,16.0,15.0,16.0,15.0,10.0
Roland Gigolaev,7.4,9.0,8.0,6.0,6.0,8.0
Daylon Claasen,14.2,16.0,15.0,16.0,9.0,15.0
Elba Rashani,11.0,12.0,15.0,12.0,6.0,10.0
Joe Shaughnessy,12.2,7.0,10.0,12.0,16.0,16.0
Hallur Hansson,10.4,9.0,14.0,10.0,10.0,9.0
Jorge Enríquez,11.4,8.0,16.0,12.0,13.0,8.0
Chris Schuler,11.6,13.0,10.0,16.0,9.0,10.0
Seth Sinovic,8.8,7.0,9.0,9.0,6.0,13.0
Bart Schenkeveld,11.8,16.0,8.0,15.0,11.0,9.0
Edu Oriol,9.4,13.0,6.0,13.0,9.0,6.0
Boadu Maxwell Acosty,9.4,15.0,14.0,5.0,6.0,7.0
Aaron Martin,8.6,7.0,8.0,15.0,7.0,6.0
Ben Zemanski,10.2,11.0,11.0,13.0,9.0,7.0
Eric Alexander,11.6,13.0,7.0,13.0,14.0,11.0
Eric Larsson,10.0,9.0,16.0,6.0,8.0,11.0
Martin Lorentzson,12.0,15.0,14.0,13.0,6.0,12.0
Mateusz Możdżeń,13.4,16.0,14.0,12.0,16.0,9.0
Fofo,11.8,6.0,13.0,16.0,14.0,10.0
Miguel Angel Sansores,11.8,16.0,11.0,13.0,7.0,12.0
Luciano Castán,10.0,8.0,11.0,16.0,7.0,8.0
Hiroki Mizumoto,11.4,16.0,9.0,8.0,8.0,16.0
Clemens Fandrich,8.4,8.0,8.0,13.0,6.0,7.0
Ibrahim Rabiu,12.4,16.0,12.0,6.0,12.0,16.0
Nahir Besara,10.8,6.0,10.0,9.0,13.0,16.0
Je-Vaughn Watson,9.2,11.0,11.0,10.0,6.0,8.0
Elvis González,12.2,16.0,8.0,12.0,9.0,16.0
Tonia Tisdell,12.0,12.0,12.0,6.0,14.0,16.0
Luis Gutiérrez,10.0,12.0,11.0,8.0,7.0,12.0
Crivellaro,4.0,4.0,4.0,4.0,4.0,4.0
Nathaniel Mendez-Laing,12.8,12.0,16.0,10.0,15.0,11.0
Alexey Pomerko,10.0,7.0,16.0,11.0,9.0,7.0
Kevin Gomis,12.2,15.0,8.0,16.0,16.0,6.0
Kevin Long,8.8,8.0,8.0,7.0,14.0,7.0
James Collins,11.4,11.0,7.0,11.0,15.0,13.0
Lee Brown,9.6,11.0,14.0,10.0,7.0,6.0
Aaron Wildig,11.4,11.0,11.0,8.0,15.0,12.0
David Wotherspoon,10.6,16.0,9.0,9.0,12.0,7.0
Musa Nizam,11.6,9.0,13.0,11.0,14.0,11.0
Sebastián Gallegos,13.2,13.0,10.0,16.0,12.0,15.0
Tiago Almeida,12.0,12.0,8.0,13.0,16.0,11.0
Michel García,11.6,10.0,13.0,13.0,15.0,7.0
David Drocco,10.6,7.0,14.0,12.0,14.0,6.0
Fabio Pisacane,13.2,12.0,11.0,15.0,15.0,13.0
Vladimir Dyadyun,10.2,6.0,12.0,9.0,10.0,14.0
Thiago Cardoso,10.2,7.0,16.0,12.0,6.0,10.0
Ash Taylor,12.6,12.0,12.0,8.0,16.0,15.0
Stephan Salger,13.4,13.0,14.0,16.0,14.0,10.0
Piotr Tomasik,10.6,15.0,11.0,7.0,6.0,14.0
Osama Malik,10.4,7.0,8.0,15.0,13.0,9.0
Shane Ferguson,7.6,9.0,7.0,7.0,6.0,9.0
Scott Neville,10.0,7.0,16.0,11.0,9.0,7.0
Dilly Duka,10.6,14.0,12.0,10.0,8.0,9.0
Rodolfo Vilchis,10.0,14.0,6.0,12.0,8.0,10.0
Maksim Bordachev,13.6,13.0,16.0,12.0,14.0,13.0
Anton Wede,11.2,9.0,15.0,15.0,8.0,9.0
Rhyan Grant,12.8,7.0,16.0,16.0,15.0,10.0
Peter Abrahamsson,65.4,68.0,65.0,63.0,66.0,65.0
Erik Friberg,2.0,2.0,2.0,2.0,2.0,2.0
Cho Chan Ho,12.4,11.0,8.0,15.0,13.0,15.0
Lee Chang Hoon,11.0,9.0,6.0,12.0,15.0,13.0
Kwon Soon Hyung,11.4,10.0,8.0,13.0,11.0,15.0
Akira Takeuchi,9.4,14.0,7.0,12.0,7.0,7.0
Yosuke Fujigaya,66.2,69.0,66.0,64.0,63.0,69.0
Dejan Jaković,9.4,12.0,8.0,6.0,13.0,8.0
Jesús Isijara,11.2,8.0,13.0,15.0,9.0,11.0
Tobias Sana,10.8,12.0,6.0,6.0,14.0,16.0
Robert Lundström,11.0,8.0,15.0,9.0,16.0,7.0
Luciano Civelli,13.2,16.0,11.0,7.0,16.0,16.0
Rob Kiernan,10.8,12.0,6.0,10.0,11.0,15.0
Tosaint Ricketts,13.8,13.0,14.0,15.0,12.0,15.0
Mana Dembélé,10.2,10.0,6.0,7.0,13.0,15.0
Jonathan Obika,12.0,13.0,16.0,7.0,10.0,14.0
Hiroshi Ibusuki,12.8,11.0,13.0,16.0,13.0,11.0
Jahir Barraza,14.2,12.0,12.0,16.0,15.0,16.0
Riccardo Brosco,10.4,12.0,8.0,12.0,5.0,15.0
Michael Sollbauer,10.2,10.0,10.0,14.0,8.0,9.0
Sheanon Williams,11.0,14.0,15.0,12.0,7.0,7.0
Daniel Gustavsson,9.6,9.0,8.0,11.0,9.0,11.0
Lyle Taylor,12.0,10.0,12.0,12.0,16.0,10.0
Jordan Clarke,1.0,1.0,1.0,1.0,1.0,1.0
Paul Coutts,10.8,11.0,14.0,8.0,8.0,13.0
Dieter Elsneg,11.4,12.0,10.0,9.0,12.0,14.0
Hugo Fraile,12.2,7.0,7.0,16.0,16.0,15.0
Dalibor Veselinović,13.8,12.0,16.0,13.0,12.0,16.0
Carlos Lázaro,9.0,11.0,6.0,6.0,12.0,10.0
Damien McCrory,11.6,7.0,13.0,11.0,11.0,16.0
Daniele Gasparetto,11.8,15.0,9.0,14.0,11.0,10.0
Gianluigi Bianco,9.6,9.0,13.0,6.0,8.0,12.0
Thomas Reifeltshammer,9.2,7.0,13.0,10.0,8.0,8.0
Iriondo,12.0,7.0,15.0,15.0,9.0,14.0
Radek Dejmek,8.6,10.0,9.0,8.0,9.0,7.0
Jeffrén,12.4,14.0,12.0,12.0,10.0,14.0
Stuart O'Keefe,11.4,16.0,10.0,11.0,11.0,9.0
Barış Memiş,9.4,13.0,8.0,7.0,7.0,12.0
Maic Sema,10.0,15.0,7.0,6.0,14.0,8.0
Christopher Telo,9.6,7.0,8.0,15.0,11.0,7.0
Peter Pawlett,12.4,16.0,9.0,13.0,16.0,8.0
Adam Chicksen,11.4,9.0,13.0,16.0,13.0,6.0
Alex Cisak,65.0,65.0,69.0,64.0,59.0,68.0
Atdhe Nuhiu,12.6,12.0,13.0,14.0,11.0,13.0
Johan Mårtensson,12.4,10.0,16.0,12.0,16.0,8.0
Christian Klem,13.2,12.0,12.0,16.0,15.0,11.0
Jason Steele,65.2,67.0,68.0,64.0,64.0,63.0
Marcin Pietrowski,10.2,6.0,6.0,16.0,7.0,16.0
Liam Sercombe,12.6,14.0,12.0,16.0,8.0,13.0
Antonio Zito,9.4,11.0,6.0,7.0,9.0,14.0
Edouard Butin,10.2,6.0,8.0,15.0,14.0,8.0
David Ulm,12.6,16.0,12.0,10.0,12.0,13.0
Guyon Fernandez,10.6,6.0,13.0,9.0,16.0,9.0
Anthony Lippini,9.6,8.0,9.0,6.0,14.0,11.0
Jon McLaughlin,66.0,65.0,68.0,67.0,66.0,64.0
Alberto Pomini,64.0,69.0,64.0,59.0,61.0,67.0
Adrian Nikçi,9.0,9.0,6.0,7.0,8.0,15.0
Shaun Brisley,10.8,12.0,8.0,12.0,11.0,11.0
Neco,10.6,10.0,16.0,11.0,7.0,9.0
Azamat Zaseev,10.6,8.0,9.0,13.0,7.0,16.0
Adlan Katsaev,11.2,10.0,13.0,14.0,6.0,13.0
Martijn van der Laan,10.2,10.0,7.0,14.0,8.0,12.0
Milan Milanović,10.8,10.0,11.0,7.0,13.0,13.0
Erik Pimentel,10.4,7.0,16.0,10.0,13.0,6.0
