Name,Dribbling,Skill_Moves,Ball_Control,Attacking_Position,Balance,Agility
Freek Heerkens,38.6,2,53,36,58,44
Danilson da Cruz,44.2,3,57,42,63,56
Karol Mackiewicz,56.4,2,65,51,77,87
Daryl Werker,35.8,2,51,25,57,44
Renzo Saravia,43.4,2,53,25,65,72
Fernando Elizari,60.2,4,72,67,79,79
Cristian Lema,26.6,2,38,28,32,33
Óscar Carniello,43.2,2,42,36,67,69
Sander Svendsen,57.8,3,67,65,82,72
Lucas Menossi,62.2,2,64,64,91,90
Gastón Díaz,54.2,2,61,66,68,74
Armando Cooper,57.8,4,66,58,83,78
Manuel Villalobos,52.8,3,65,71,70,55
Sebastián Moyano,25.2,1,25,14,50,36
Misael Dávila,58.4,3,65,66,76,82
Víctor Hugo Sarabia,56.2,3,66,66,76,70
Francisco Pizzini,58.2,3,71,62,74,81
Esteban González,50.0,3,61,52,68,66
Matías Donoso,49.4,3,60,69,53,62
Sebastián Gonzalez,55.4,3,70,59,69,76
Javier Capelli,43.6,2,57,36,60,63
Jorge Valdez Chamorro,55.0,2,68,62,73,70
Nicolás Avellaneda,23.4,1,17,20,35,44
Ronald de la Fuente,55.0,3,65,59,87,61
José Luis Muñoz,57.0,3,68,67,69,78
Fernando Saavedra,47.0,2,67,41,66,59
Gabriel Sandoval,47.6,2,66,32,77,61
Matías Navarrete,41.8,2,52,35,64,56
Yamilson Rivera,57.0,3,68,64,71,79
Luis Mosquera,54.6,3,65,67,70,68
Mauricio Restrepo,56.4,2,64,65,75,76
Darwin López,57.2,3,66,68,73,76
Darío Melo,20.2,1,22,7,32,39
Esteban Carvajal,54.8,3,64,60,76,71
Yair Arrechea,34.4,2,50,33,43,44
Félix Noguera,52.2,2,58,69,64,68
Henry Rojas,55.2,3,68,63,71,71
David Valencia,37.4,2,37,29,60,59
Dilan Zúñiga,51.6,2,59,56,73,68
Camilo Rodríguez,52.4,2,65,58,67,70
Carlos Escobar,50.4,3,64,67,55,63
Juan Zuluaga,50.6,2,54,46,80,71
Cristian Restrepo,55.6,2,61,64,81,70
Álvaro Navarro,46.8,3,57,68,51,55
Carlos Giraldo,47.8,2,63,56,61,57
Alcatraz,53.0,2,71,59,68,65
Sergio Mosquera,28.8,2,53,23,32,34
Hárrison Mojica,59.4,4,62,54,86,91
Ahmed Al Nazera,54.6,3,62,64,79,65
Elacio Córdoba,51.8,2,64,48,75,70
Anton Mitryushkin,23.0,1,19,13,51,31
Mikael Uhre,50.4,2,62,59,63,66
Lebogang Phiri,55.4,2,68,53,76,78
Chris Erskine,51.6,3,71,56,57,71
Paweł Stolarski,52.0,2,63,61,66,68
Wandrille Lefèvre,40.6,2,58,45,52,46
Adolphe Teikeu,36.6,2,58,28,48,47
Jonathan Ring,53.0,2,66,57,64,76
Dillon Serna,58.4,3,64,67,81,77
Diawandou Diagné,51.4,2,63,41,75,76
Lee Evans,49.8,2,67,62,59,59
Khaled Ayari,55.4,3,62,65,75,72
Marko Marić,21.4,1,15,7,53,31
Niels De Schutter,46.6,2,62,53,58,58
Abdellah Zoubir,53.4,4,70,53,64,76
Luis Fernández,55.6,3,60,70,74,71
Zach Clough,63.8,3,67,66,92,91
Erik Hurtado,57.6,3,64,64,80,77
Pa Konate,51.2,2,59,48,71,76
David Kinsombi,45.8,2,59,39,65,64
John Souttar,44.8,2,68,25,58,71
Craig Slater,50.8,3,67,49,63,72
Wilberto Cosme,54.6,3,65,67,65,73
Germán Parreño,22.2,1,20,13,38,39
Jordi Vanlerberghe,48.0,2,65,51,58,64
Jaime Gómez,53.6,2,66,48,77,75
Edward Zenteno,33.6,2,30,27,61,48
Tarsi,54.6,3,68,59,70,73
Michael Pérez,55.4,2,69,60,76,70
Saeed Al Mowalad,52.8,2,63,57,70,72
Albert Rafetraniaina,51.6,2,59,45,75,77
Lucas Hufnagel,55.4,3,67,62,69,76
Alex Muñoz,47.2,2,59,55,61,59
Nils Quaschner,52.4,3,64,62,67,66
Philipp Riese,51.4,2,61,49,77,68
Betinho,55.4,3,65,66,68,75
Caolan Lavery,56.2,3,66,65,70,77
Thamsanqa Gabuza,44.8,3,64,58,48,51
Leonardo Bertone,53.4,2,64,66,72,63
Pol García,35.4,2,53,22,43,57
Nico Hidalgo,56.0,3,69,56,73,79
Andrea Tabanelli,46.6,2,68,64,37,62
Alexandr Putsko,36.6,2,36,39,47,59
Nono,57.8,3,61,61,85,79
Matthew Rusike,55.2,3,68,61,73,71
Nicolai Brock-Madsen,46.8,2,62,63,50,57
Frank Bagnack,42.2,2,58,26,63,62
Riccardo Fiamozzi,48.2,2,61,35,70,73
Riccardo Improta,57.6,3,68,63,76,78
Alhaji Kamara,50.4,3,59,63,64,63
Sultan Ali Al Sawadi,60.4,3,66,57,87,89
Salva Ruíz,50.0,2,63,58,62,65
Floriano Vanzo,57.2,3,72,62,75,74
Nuno Campos,49.2,2,58,41,72,73
Manuel Prietl,47.8,2,64,52,61,60
Charalampos Lykogiannis,45.4,2,65,63,53,44
Niklas Lomb,22.6,1,20,5,40,47
Romell Quioto,59.6,3,65,75,70,85
Thomas Murg,57.6,2,69,56,80,81
Muhannad Abu Radiyah,51.6,3,62,61,65,67
Assaf Ahmed Al Qarni,26.2,1,20,11,64,35
Mansour Al Harbi,52.6,3,60,58,67,75
Carlos Calvo,34.8,2,57,31,31,53
Terell Ondaan,57.4,4,62,62,77,82
Rafael Batatinha,54.4,2,66,67,64,73
Craig Goodwin,56.0,3,64,63,74,76
Guus Joppen,49.4,2,64,55,65,61
Vedran Janjetović,24.8,1,24,13,44,42
Mikhail Rosheuvel,54.4,3,68,56,70,75
Abdullah Al Owayshir,27.8,1,21,15,52,50
Gary Warren,40.4,2,57,25,61,57
Radosław Murawski,54.6,3,69,51,75,75
Rochdi Achenteh,54.2,2,62,59,81,67
Kristoffer Haugen,49.8,2,62,52,68,65
Awad Khrees,51.8,3,58,55,71,72
Alex Grant,39.2,2,43,35,66,50
Tawfiq Bu Haymid,53.0,2,58,67,70,68
Per Frick,53.2,2,61,69,66,68
Ahmed Ali Al Kassar,26.8,1,17,18,62,36
Hattan Bahebri,58.2,4,66,61,79,81
Fawaz Al Qarni,29.2,1,17,16,62,50
Ashton Götz,51.6,2,64,49,74,69
Nathaniel Knight-Percival,40.6,2,45,32,63,61
Mohammed Eid Al Bishi,34.4,2,42,28,51,49
Daniel Łukasik,51.0,2,57,59,71,66
Jimmy Roye,54.8,3,70,58,75,68
Jimmy Giraudon,39.4,2,56,39,45,55
Kenneth Schuermans,40.4,2,57,39,56,48
Wouter Marinus,54.2,2,67,70,63,69
Gino van Kessel,53.4,2,61,67,65,72
Alan Uryga,37.6,2,54,46,44,42
Marky Delgado,56.8,2,67,58,72,85
Tim Chow,52.2,2,64,61,70,64
Dejan Mezga,56.6,3,65,65,76,74
Pa Dibba,59.2,3,61,69,76,87
Kornel Osyra,37.8,2,56,31,56,44
Amir Fahad Kurdy,43.6,3,59,30,54,72
Berat Djimsiti,43.2,2,57,55,54,48
Federico Andrada,51.8,3,64,64,64,64
Viktor Agardius,51.0,2,62,49,71,71
Ivan Runje,36.2,2,54,38,39,48
Murray Wallace,41.0,2,56,42,56,49
Pedro Martín,53.2,3,64,65,59,75
Valeriu Ciupercă,51.2,3,66,54,72,61
Patryk Tuszyński,50.4,2,66,64,59,61
Jordan Botaka,55.8,5,68,61,70,75
Raymon Gaddis,53.2,2,56,51,76,81
Alan Mendoza,50.0,2,59,49,79,61
Jota,55.8,3,71,63,73,69
Paco van Moorsel,49.8,2,68,53,60,66
Calum Mallace,41.6,2,61,45,54,46
Jose Villarreal,62.4,4,68,65,85,90
Martin Bjørnbak,32.2,2,55,28,34,42
Mikael Boman,46.2,2,61,69,50,49
Franco Fragapane,60.2,3,63,61,91,83
José Valencia,52.0,3,68,63,61,65
Matías Campos,50.6,2,62,63,63,63
Darren Mattocks,57.2,3,59,63,73,88
Connor Lade,53.0,2,61,55,73,74
Jason Holt,63.8,3,69,65,92,90
Louis Thompson,53.4,2,67,59,65,74
Marius Høibråten,43.8,2,58,30,69,60
Franck Boli,55.4,2,62,63,80,70
Abdoulaye Sané,52.0,2,65,64,66,63
Ezekiel Fryers,49.8,2,62,49,64,72
Simeon Raykov,58.2,3,67,67,79,75
Marco Romizi,58.2,3,66,61,81,80
Anton Shvets,46.0,2,65,48,65,50
Selim Gündüz,60.0,3,64,66,85,82
Jairo Morillas,51.4,3,61,70,59,64
Jed Wallace,54.6,3,66,61,70,73
Alex Rodríguez,52.8,3,72,56,72,61
Cheick Diarra,57.2,3,63,63,74,83
David Bruno,51.2,2,66,49,73,66
Martin Sourzac,31.8,1,29,16,58,55
Mike van Duinen,51.6,3,62,69,57,67
Alexander Juel Andersen,48.8,2,62,58,58,64
Adam Henley,52.6,2,58,51,81,71
Marco Thiede,57.2,3,66,63,77,77
Herolind Shala,59.4,2,73,61,81,80
De Los Reyes,47.2,2,66,42,59,67
Jack Baldwin,44.6,2,50,35,65,71
Donovan Léon,26.0,1,21,15,51,42
Cristian Ceballos,54.6,3,69,56,73,72
Herman Stengel,55.8,3,68,64,73,71
Fernando,28.0,1,23,16,56,44
Igor Rossi,37.4,2,60,34,49,42
Milan Borjan,23.6,1,23,14,42,38
Baïssama Sankoh,44.0,2,63,33,61,61
Nick Ansell,39.6,2,49,27,62,58
Jack Grimmer,52.2,2,58,55,68,78
Dejan Janjatović,47.8,2,63,63,50,61
Joshua Smits,30.2,1,26,13,53,58
Menno Koch,40.8,2,66,26,51,59
Mehdi Jeannin,27.0,1,22,18,57,37
Kiko,50.8,3,67,63,58,63
Alberto Almici,50.4,2,67,56,59,68
Michael Ngoo,45.2,3,64,58,47,54
Stanley Elbers,55.4,3,66,57,76,75
Gianmario Comi,48.2,3,64,64,51,59
Rayan Frikèche,50.0,3,68,57,57,65
Michael Smith,53.8,2,61,53,80,73
Dylan McGowan,42.8,2,58,29,62,63
Jak Alnwick,29.6,1,34,13,50,50
Anthony O'Connor,48.8,2,61,44,70,67
Aleksandar Todorovski,50.0,2,62,47,72,67
Marcus Bettinelli,22.2,1,24,14,37,35
Iasmin Latovlevici,53.2,2,64,64,71,65
Tom Trybull,52.2,2,68,52,70,69
Kenny Lala,49.4,2,64,45,71,65
Anass Achahbar,60.0,4,74,62,85,75
Félix Araujo,34.8,2,60,44,38,30
Ousseynou Cissé,29.6,2,65,15,32,34
Mehmet Akyüz,45.0,2,64,61,42,56
Adrián Luna,62.0,4,70,58,89,89
Richard Windbichler,43.8,2,50,48,62,57
Ibrahim Salah,49.2,2,64,45,70,65
Daniel Davari,17.4,1,18,9,28,31
Lawrence Thomas,24.8,1,14,14,34,61
Ashtone Morgan,52.6,2,58,56,69,78
Ben Halloran,57.4,3,66,64,71,83
Joshua Brillante,51.2,2,59,51,70,74
James Jeggo,52.6,2,66,59,65,71
Kamal Issah,50.2,2,63,40,73,73
Kim Dae Ho,53.2,2,60,66,65,73
Richard Lašík,55.0,2,68,58,66,81
Nicolás Peñailillo,53.4,2,65,61,68,71
Reece Wabara,53.0,2,60,59,72,72
Christopher Forrester,54.6,3,66,58,70,76
Nathan Byrne,53.2,3,62,50,76,75
Martin Angha,48.6,2,68,54,55,64
Gerson,43.4,2,60,37,58,60
Weslley,54.2,4,63,59,62,83
Florian Makhedjouf,52.6,2,70,60,59,72
Thorsten Röcher,56.8,3,65,66,72,78
Michael Doughty,53.6,3,68,54,68,75
Kim Byeong Oh,55.8,3,63,68,67,78
Dimitri Bisoli,52.8,2,66,65,75,56
Daniel Amora,52.6,3,71,61,66,62
Leon de Kogel,39.8,2,64,65,33,35
Vojo Ubiparip,51.8,3,61,52,73,70
Riffi Mandanda,22.4,1,19,13,41,38
Servando Carrasco,50.2,2,68,56,69,56
Joe Willis,27.2,1,15,13,55,52
Zeli Ismail,54.6,4,69,54,72,74
Josh Williams,42.0,2,56,44,62,46
Ažbe Jug,24.0,1,26,11,40,42
Fabio Concas,56.0,3,71,50,81,75
Chuks Aneke,49.8,3,69,69,59,49
Zarek Valentin,46.8,2,61,52,63,56
Kofi Sarkodie,55.2,2,55,58,81,80
Ethan White,40.0,2,49,35,62,52
Kim Ojo,42.2,3,56,66,53,33
Christoffer Remmer,52.8,2,65,54,72,71
Ohi Omoijuanfo,52.0,2,68,66,51,73
Jeff Attinella,24.2,1,19,14,53,34
Russell Teibert,57.4,3,67,52,88,77
Daniel Lafferty,52.4,2,64,59,65,72
Federico Furlan,56.8,3,65,65,71,80
Manu Molina,54.2,2,63,67,71,68
Andrea La Mantia,42.4,2,62,68,32,48
Simone Sini,38.6,2,61,26,59,45
Arkadiusz Woźniak,54.4,2,63,66,70,71
Bartłomiej Pawłowski,56.0,4,68,56,72,80
Scott Allan,58.2,3,73,67,73,75
Callum Booth,42.2,2,61,15,61,72
Steven Lawless,59.8,3,67,58,90,81
Florent Ogier,38.6,2,58,15,63,55
Charis Mavrias,55.8,3,65,61,77,73
Christoph Knasmüllner,56.8,3,68,59,77,77
Josh Morris,59.0,2,63,66,78,86
Curtis Nelson,45.0,2,49,43,61,70
Abdenasser El Khayati,54.6,4,65,67,69,68
Giacomo Beretta,50.0,3,65,65,56,61
Terry Antonis,54.0,3,68,62,68,69
Kristof D'Haene,61.2,2,66,63,92,83
Simone Corazza,57.0,3,64,63,76,79
Pulido,38.2,2,51,37,49,52
Joaquín Boghossian,41.2,2,67,77,31,29
Ali Messaoud,54.8,3,71,66,66,68
Giliano Wijnaldum,53.0,3,65,52,73,72
Alessandro Cerigioni,54.8,3,69,61,65,76
Rémi Mulumba,50.2,3,62,59,70,57
Sefa Yılmaz,54.0,3,68,65,66,68
Florent Cuvelier,58.0,3,70,60,73,84
Ricky Holmes,56.6,3,64,59,81,76
Andreas Wittwer,55.6,2,64,67,80,65
Fabian Koch,55.2,3,65,49,79,80
Dionicio Escalante,44.6,3,60,52,50,58
Dennis Hediger,55.4,2,67,61,77,70
Kim Young Wook,52.4,3,69,49,70,71
Ryoichi Maeda,54.0,3,66,70,53,78
Camaldine Abraw,53.0,3,71,66,58,67
Andy Halliday,58.2,3,60,57,86,85
Mustafa Amini,57.8,3,68,63,80,75
Roland Gigolaev,54.8,3,63,61,77,70
Daylon Claasen,60.6,3,65,62,91,82
Elba Rashani,56.4,4,65,67,65,81
Joe Shaughnessy,42.4,2,64,22,53,71
Hallur Hansson,56.0,3,61,61,84,71
Jorge Enríquez,47.4,2,64,60,50,61
Chris Schuler,30.4,2,43,39,34,34
Seth Sinovic,47.8,2,64,42,69,62
Bart Schenkeveld,50.8,2,68,60,65,59
Edu Oriol,54.2,3,69,59,68,72
Boadu Maxwell Acosty,55.6,3,73,55,71,76
Aaron Martin,34.8,2,49,19,51,53
Ben Zemanski,49.4,3,66,61,69,48
Eric Alexander,52.0,3,65,64,64,64
Eric Larsson,52.4,2,58,53,73,76
Martin Lorentzson,49.8,2,63,42,71,71
Mateusz Możdżeń,55.0,3,64,62,70,76
Fofo,53.8,3,65,63,62,76
Miguel Angel Sansores,55.6,3,66,65,69,75
Luciano Castán,42.0,2,49,49,52,58
Hiroki Mizumoto,42.0,2,50,27,60,71
Clemens Fandrich,58.6,3,64,59,77,90
Ibrahim Rabiu,61.6,4,71,57,86,90
Nahir Besara,56.0,2,70,64,66,78
Je-Vaughn Watson,50.2,2,64,60,51,74
Elvis González,53.4,2,67,54,77,67
Tonia Tisdell,58.8,3,71,66,69,85
Luis Gutiérrez,45.2,2,47,49,60,68
Crivellaro,53.2,3,64,73,65,61
Nathaniel Mendez-Laing,55.0,2,68,62,70,73
Alexey Pomerko,46.0,2,62,45,56,65
Kevin Gomis,36.4,2,55,17,51,57
Kevin Long,42.4,2,51,48,51,60
James Collins,49.8,2,61,62,54,70
Lee Brown,54.0,2,64,56,76,72
Aaron Wildig,57.4,3,66,60,77,81
David Wotherspoon,51.2,3,69,49,62,73
Musa Nizam,51.0,3,65,58,64,65
Sebastián Gallegos,54.4,3,62,63,76,68
Tiago Almeida,53.0,3,66,58,69,69
Michel García,55.8,2,69,64,79,65
David Drocco,58.0,3,73,47,92,75
Fabio Pisacane,49.2,2,60,49,67,68
Vladimir Dyadyun,54.4,2,64,64,70,72
Thiago Cardoso,39.6,2,50,32,58,56
Ash Taylor,39.2,2,53,19,61,61
Stephan Salger,49.2,2,62,49,65,68
Piotr Tomasik,52.8,3,62,57,71,71
Osama Malik,46.4,2,59,45,60,66
Shane Ferguson,57.0,3,74,59,74,75
Scott Neville,48.0,2,56,60,60,62
Dilly Duka,53.2,3,66,61,68,68
Rodolfo Vilchis,60.8,3,71,61,86,83
Maksim Bordachev,45.8,2,61,51,47,68
Anton Wede,59.2,2,66,63,84,81
Rhyan Grant,55.2,2,65,62,73,74
Peter Abrahamsson,23.2,1,21,16,36,42
Erik Friberg,51.2,2,64,64,63,63
Cho Chan Ho,59.8,3,65,62,88,81
Lee Chang Hoon,58.2,3,65,67,78,78
Kwon Soon Hyung,58.6,2,62,69,78,82
Akira Takeuchi,44.4,2,58,33,64,65
Yosuke Fujigaya,23.2,1,20,11,50,34
Dejan Jaković,36.6,2,50,27,56,48
Jesús Isijara,52.4,2,70,66,52,72
Tobias Sana,58.4,3,76,43,78,92
Robert Lundström,49.0,2,62,45,65,71
Luciano Civelli,50.0,3,66,65,58,58
Rob Kiernan,41.4,2,58,28,56,63
Tosaint Ricketts,50.2,2,60,62,58,69
Mana Dembélé,57.2,3,64,69,72,78
Jonathan Obika,51.0,3,66,64,60,62
Hiroshi Ibusuki,37.0,2,64,57,32,30
Jahir Barraza,55.2,3,64,66,65,78
Riccardo Brosco,34.0,2,52,16,40,60
Michael Sollbauer,36.6,2,44,48,33,56
Sheanon Williams,52.8,2,57,61,68,76
Daniel Gustavsson,58.4,2,65,68,79,78
Lyle Taylor,54.8,3,64,67,59,81
Jordan Clarke,51.4,2,62,47,66,80
Paul Coutts,56.8,3,67,66,74,74
Dieter Elsneg,58.8,4,66,61,81,82
Hugo Fraile,54.2,3,64,62,70,72
Dalibor Veselinović,39.6,2,64,67,30,35
Carlos Lázaro,51.8,3,68,54,65,69
Damien McCrory,47.2,2,59,55,49,71
Daniele Gasparetto,29.4,2,41,23,30,51
Gianluigi Bianco,45.8,2,61,51,57,58
Thomas Reifeltshammer,34.4,2,46,28,55,41
Iriondo,53.8,2,62,49,81,75
Radek Dejmek,41.2,2,48,42,53,61
Jeffrén,58.4,3,71,62,80,76
Stuart O'Keefe,57.6,2,67,59,84,76
Barış Memiş,58.0,3,68,64,78,77
Maic Sema,61.6,3,71,68,81,85
Christopher Telo,57.0,2,67,50,84,82
Peter Pawlett,57.2,3,64,64,74,81
Adam Chicksen,49.4,2,63,51,70,61
Alex Cisak,28.4,1,22,16,47,56
Atdhe Nuhiu,45.0,3,70,69,38,45
Johan Mårtensson,54.4,2,64,63,71,72
Christian Klem,59.4,3,63,54,87,90
Jason Steele,26.0,1,33,16,44,36
Marcin Pietrowski,50.0,2,68,61,57,62
Liam Sercombe,55.8,2,64,64,74,75
Antonio Zito,55.6,2,72,63,64,77
Edouard Butin,54.2,2,64,70,65,70
David Ulm,60.0,3,68,60,86,83
Guyon Fernandez,52.8,3,64,66,65,66
Anthony Lippini,49.2,2,55,49,75,65
Jon McLaughlin,31.6,1,21,15,61,60
Alberto Pomini,22.8,1,21,10,33,49
Adrian Nikçi,56.4,3,71,61,71,76
Shaun Brisley,40.8,2,47,33,52,70
Neco,58.2,3,62,71,83,72
Azamat Zaseev,52.0,2,62,60,67,69
Adlan Katsaev,50.8,2,70,42,72,68
Martijn van der Laan,46.2,2,65,34,70,60
Milan Milanović,30.2,2,58,25,32,34
Erik Pimentel,40.2,2,39,35,65,60
Jo Su Huk,28.6,1,15,13,45,69
Raphael Wolf,21.0,1,20,10,31,43
Daniel Christensen,51.8,2,63,44,72,78
Pavels Šteinbors,25.0,1,21,14,38,51
Luca Di Matteo,52.4,3,64,55,70,70
Pedrinho,54.2,2,66,54,75,74
Nikola Gulan,50.2,3,68,56,59,65
Andrew Jacobson,47.0,2,69,58,50,56
José Carvallo,26.8,1,19,13,55,46
Piotr Polczak,30.6,2,47,17,53,34
Khaled Adenon,40.8,2,65,17,69,51
Chance Myers,52.0,2,60,60,66,72
Tony Beltran,50.4,2,61,49,77,63
Daniel Arreola,51.0,3,65,52,68,67
Christian Landu Landu,46.6,2,66,51,55,59
Liam Kelly,44.4,2,63,56,42,59
Ruymán,44.2,2,61,42,55,61
Henrik Ojamaa,54.8,4,70,59,67,74
Gavin Gunning,46.6,2,55,44,62,70
Juanmi Callejón,55.6,3,64,62,72,77
Robin Henkens,55.4,2,66,62,75,72
Tommy Høiland,53.2,3,66,62,73,62
Yohann Thuram,27.8,1,13,12,46,67
Gary Madine,48.6,2,62,69,53,57
Mattia Mustacchio,55.2,4,63,61,70,78
Dorian Dervite,35.6,2,55,34,43,44
Josué Ayala,23.2,1,21,17,40,37
Joachim Thomassen,55.4,2,68,62,73,72
Fredrik Brustad,47.4,2,63,59,52,61
Richard Sukuta-Pasu,49.4,3,65,64,48,67
Peter Orry Larsen,55.8,3,65,66,71,74
Alfonso Blanco,30.2,1,20,10,56,64
Daniel Toth,57.8,3,66,56,81,83
Alexander Stolz,23.4,1,22,12,32,50
Jordan Spence,44.6,2,61,46,58,56
Joe Jacobson,51.8,2,60,57,60,80
Jonatan Tollås Nation,43.0,2,53,43,60,57
Manuel Hornig,34.8,2,43,39,44,46
Bruce Abdoulaye,39.6,2,40,37,58,61
Fabian Müller,57.2,2,64,59,82,79
Danny Hylton,53.0,2,61,64,68,70
Greg Bolger,51.4,2,63,57,64,71
Lucas Silva,49.4,3,68,67,49,60
Sam Hird,43.0,2,53,35,59,66
Alexandr Prudnikov,48.8,2,65,62,57,58
Mao Jianqing,55.4,3,64,65,78,67
Nigel Boogaard,32.6,2,43,24,48,46
Oumar Sissoko,19.2,1,22,14,38,21
André Hainault,45.8,2,55,49,64,59
Ahmed Ibrahim Ateef,59.6,3,66,71,82,76
Park Won Jae,60.4,3,64,73,79,83
Oliver Bozanic,57.6,3,71,67,72,75
Manuel Viniegra,52.2,2,67,60,67,65
David Worrall,56.4,2,62,63,83,72
Stefan Maierhofer,33.0,2,43,76,20,24
Amin Nouri,52.6,2,64,61,73,63
Simon Church,52.4,2,63,61,65,71
Hassane Alla,52.6,3,64,61,67,68
Takayuki Morimoto,53.2,3,63,67,61,72
Ludovic Sylvestre,51.0,3,65,61,62,64
Kaká,38.2,2,48,26,58,57
Erik Jendrišek,56.4,3,69,63,73,74
Ludovic Gamboa,57.2,3,65,69,76,73
Yves De Winter,25.8,1,28,12,42,46
David Da Costa,28.4,1,23,14,40,64
Andreas Nordvik,48.0,2,55,44,66,73
Dominic Oduro,52.8,3,58,66,55,82
Kai Bülow,42.2,2,61,53,47,48
Cyriaque Louvion,36.2,2,55,28,55,41
Mickaël Tavares,49.4,3,69,59,57,59
Craig Alcock,53.2,2,57,57,79,71
Massimo Zappino,21.2,1,21,12,30,42
Andy Williams,52.8,2,62,67,72,61
Luis Martínez,50.0,2,69,49,66,64
Karim Guédé,42.4,2,57,63,43,47
Franck Moussa,59.0,3,66,65,80,81
Julien Toudic,59.4,2,61,68,79,87
Zdeněk Zlámal,26.2,1,20,11,61,38
Marco Canchila,44.2,2,60,35,63,61
Carlos Díaz,43.8,2,47,33,68,69
Jean Calvé,48.6,2,65,56,60,60
Robert Milsom,53.8,2,65,67,69,66
Jung In Whan,35.6,2,56,45,40,35
Lee Sung Hyun,55.8,3,64,68,72,72
Marc Burch,49.6,2,63,55,59,69
Glen Moss,23.0,1,12,10,50,42
Tam Scobbie,36.2,2,62,19,54,44
Simon Eastwood,28.4,1,19,16,44,62
Lucas Akins,54.4,3,66,60,68,75
Lloyd James,53.6,2,66,62,72,66
Miles Addison,35.0,2,54,40,46,33
Berat Sadik,46.6,3,63,64,51,52
Eggert Jónsson,42.2,2,61,39,49,60
Borda,31.0,2,53,26,42,32
Diego Lagos,53.8,3,67,61,64,74
Tobias Mikkelsen,56.6,3,66,64,74,76
Ed Upson,54.4,2,70,57,73,70
Oscar Díaz,53.4,3,70,67,56,71
Cirio,63.0,3,70,63,93,86
David Forde,22.6,1,20,16,43,33
Marino Defendi,56.0,3,64,63,67,83
Brendan Moloney,48.0,2,63,50,62,63
Ben Hamer,29.4,1,23,16,56,51
Scott Laird,48.8,2,60,52,63,67
Danny Guthrie,53.6,3,69,58,81,57
Israel Villaseñor,31.4,1,23,14,61,58
Michael O'Connor,51.2,3,65,58,66,64
Michael Gardyne,59.4,3,68,54,82,90
Elmar Bjarnason,54.6,3,74,54,72,70
Michael McGlinchey,60.0,3,70,61,86,80
André Bahia,38.4,2,56,22,52,60
Marco Jiménez,51.4,2,61,52,72,70
Goran Karanović,52.6,2,64,73,56,68
Raffaele Schiavi,33.0,2,48,24,45,46
Matt Done,56.6,3,63,60,76,81
Denni Avdić,45.2,2,65,65,39,55
Anri Khagush,46.8,2,58,43,69,62
Nicky Adams,55.2,2,63,57,84,70
Jakub Tosik,52.0,2,60,56,69,73
Wojciech Kędziora,51.6,2,60,73,59,64
Federico León,39.2,2,50,24,64,56
Billy Clarke,63.0,3,65,67,92,88
Jason Demetriou,53.4,2,64,59,71,71
Grzegorz Bonin,48.4,3,63,67,53,56
Craig Davies,46.4,2,65,65,48,52
Marek Wasiluk,36.0,2,44,48,34,52
David Raven,46.0,2,62,33,62,71
Jason Hernandez,48.2,2,55,50,69,65
Marcel de Jong,51.4,2,65,51,74,65
Chad Barrett,50.4,2,64,68,65,53
Tony McMahon,49.0,2,57,49,75,62
Daniel Fernandes,19.8,1,13,7,39,39
Chris Dagnall,56.4,3,64,69,74,72
Tomasz Brzyski,57.8,2,62,63,74,88
Joe Walsh,43.8,2,54,37,65,61
Gaëtan Krebs,63.0,3,67,59,96,90
Jamie Young,23.4,1,22,12,37,45
Mauricio Caranta,24.4,1,14,13,44,50
Brendon Santalab,54.4,2,61,68,77,64
Sergiy Pylypchuk,51.0,3,60,68,52,72
Sebastián Penco,46.4,2,61,70,59,40
Henrico Drost,41.8,2,58,36,58,55
Radosław Cierzniak,28.0,1,22,15,44,58
Santamaría,55.8,3,61,73,69,73
David de Paula,59.2,3,65,68,81,79
Conrad Logan,25.4,1,22,15,43,46
Edgar Dueñas,33.8,2,57,39,42,29
Shamil Asildarov,49.6,3,65,63,56,61
Queco Piña,26.2,1,17,16,40,57
Paul Robinson,41.8,2,56,39,67,45
Manuel Coppola,56.2,2,67,50,82,80
Bob Harris,49.2,2,62,44,68,70
Osvaldo Barsottini,42.2,2,51,50,58,50
Peter Larsson,27.4,2,34,23,40,38
Claes Kronberg,49.8,3,66,55,55,70
Knut Olav Rindarøy,52.6,2,61,58,71,71
Luis Ricardo Esqueda,51.6,2,64,59,67,66
Gennaro Sardo,40.2,2,56,55,34,54
Andrew Considine,37.0,2,54,20,63,46
Richard Wood,34.2,2,55,40,45,29
Thomas Gebauer,25.2,1,23,9,52,41
Dexter Blackstock,51.0,3,63,68,62,59
Tomáš Černý,28.2,1,12,16,49,63
Lewis Buxton,48.6,2,64,46,67,64
Stephen McManus,36.2,2,53,42,34,50
Stephan Petersen,50.8,3,64,54,58,75
Leon Clarke,48.0,3,62,68,51,56
Martin Woods,57.0,3,66,63,80,73
Scott Brown,29.2,1,23,13,46,63
Marko Stanković,56.0,4,66,58,71,81
James Coppinger,58.8,3,72,59,88,72
Brian Vandenbussche,23.8,1,25,11,30,52
Łukasz Madej,54.2,3,70,59,69,70
Felipe Sanchón,61.4,3,72,67,92,73
Iago Bouzón,41.6,2,57,34,59,56
Ripa,51.6,2,57,56,70,73
Saizar,24.0,1,20,13,41,45
Migue,32.8,2,52,25,49,36
Luciano Vella,45.4,2,58,35,67,65
